Join,Peak,Location,Prominence_m,Height_m,Col_m
Dhaulagiri,Dhaulagiri,Nepal,3357,8167,4810
K2,K2,Pakistan,4017,8611,4594
Tirich Mir,Tirich Mir,Pakistan,3908,7708,3800
Nevado Ojos del Salado,Ojos del Salado,Argentina Chile,3688,6893,3205
Chimborazo,Chimborazo,Ecuador,4118,6263,2145
Mount Ararat,Mount Ararat,Turkey,3611,5137,1526
Mount Kenya,Mount Kenya,Kenya,3825,5199,1374
Mount Whitney,Mount Whitney,United States,3073,4418,1345
Mount Robson,Mount Robson,Canada,2829,3959,1130
Gora Elbrus,Mount Elbrus,Russia,4741,5642,901
Pico de Orizaba,Pico de Orizaba,Mexico,4922,5636,714
Jebel Toubkal,Toubkal,Morocco,3757,4167,410
Mount Rainier,Mount Rainier,United States,4023,4393,370
Mont Blanc,Mont Blanc,Italy France,4695,4808,113
Denali,Denali,United States,6144,6191,47
Mount Kilimanjaro,Mount Kilimanjaro*,Tanzania,5885,5895,10
Mount Everest,Mount Everest,Nepal China,8848.86,8848.86,0
Cerro Aconcagua,Aconcagua,Argentina,6960.8,6960.8,0
Kanchenjunga,,,,,
Nanga Parbat,,,,,
Nanda Devi,,,,,
Batura Mustagh I,,,,,
Namcha Barwa,,,,,
Kongkoerh,,,,,
Gangkar Punsum,,,,,
Gongga Shan,,,,,
Pik Imeni Ismail Samani,,,,,
Nowshak,,,,,
Pik Pobeda,,,,,
Gyala Peri,,,,,
Liushi Shan,,,,,
Nyainqentanglha Feng,,,,,
Nun,,,,,
Lunpo Gangri,,,,,
Kangt├Â,,,,,
Muztag Feng,,,,,
Shahi Kangri,,,,,
Purog Kangri,,,,,
Bairiga,,,,,
Nevado Huascar├ín,,,,,
Ak Tag,,,,,
Volc├ín Llullaillaco,,,,,
Kangju Kangri,,,,,
Nganglong Kangri,,,,,
Kailash,,,,,
Geladandong,,,,,
Cerro Tupungato,,,,,
Nevado Sajama,,,,,
Nevado Coropuna,,,,,
Nevado Illimani,,,,,
Nevado Auzangate,,,,,
Magen Gangri,,,,,
Aucanquilcha,,,,,
Mount Logan,,,,,
Hkakabo Razi,,,,,
Kangze'gyai,,,,,
Pico Crist├│bal Col├│n,,,,,
Mount Damavand,,,,,
Bogda Feng,,,,,
Volc├ín Popocat├®petl,,,,,
Ritacuba Blanco,,,,,
Nevado del Ruiz,,,,,
Pik Karakol,,,,,
Gora Shkhara,,,,,
Shah Fuladi,,,,,
Mount Blackburn,,,,,
Pico Bol├¡var,,,,,
Mount Stanley,,,,,
Pik Talghar,,,,,
Vinson Massif,,,,,
Puncak Jaya,,,,,
Sabalon Kuh,,,,,
Sikaram,,,,,
Klyuchevskaya Sopka,,,,,
Volc├ín Domuyo,,,,,
Mount Fairweather,,,,,
Monte Rosa,,,,,
K├Âketau,,,,,
Zard Kuh,,,,,
Ras Dejen,,,,,
