No.,Peak,Location,Prominence (m),Height (m),Col (m),Encirclement Parent,Prominence Parent,Range (or island),,,,,,,,,,,,,,,,,,,,,,
1,Mount Everest,Nepal China,"8,848.86","8,848.86",0,None,None,Himalayas,,,,,,,,,,,,,,,,,,,,,,
22,K2,Pakistan,"4,017","8,611","4,594",Everest,Everest,Karakoram,,,,,,,,,,,,,,,,,,,,,,
29,Kanchenjunga,Nepal India,"3,922","8,586","4,664",Everest,Everest,Himalayas,,,,,,,,,,,,,,,,,,,,,,
55,Dhaulagiri,Nepal,"3,357","8,167","4,810",K2,K2,Himalayas,,,,,,,,,,,,,,,,,,,,,,
80,Manaslu,Nepal,"3,092","8,163","5,071",Everest,Everest,Himalayas,,,,,,,,,,,,,,,,,,,,,,
14,Nanga Parbat,Pakistan,"4,608","8,125","3,517",Everest,Everest,Himalayas,,,,,,,,,,,,,,,,,,,,,,
94,Annapurna,Nepal,"2,984","8,091","5,107",Everest,Everest,Himalayas,,,,,,,,,,,,,,,,,,,,,,
111,Shishapangma,China,"2,897","8,027","5,130",Annapurna,Annapurna,Himalayas,,,,,,,,,,,,,,,,,,,,,,
74,Nanda Devi,India,"3,139","7,816","4,677",K2,Dhaulagiri,Himalayas,,,,,,,,,,,,,,,,,,,,,,
77,Batura Sar,Pakistan,"3,118","7,795","4,677",K2,K2,Karakoram,,,,,,,,,,,,,,,,,,,,,,
122,Rakaposhi,Pakistan,"2,818","7,788","4,970",K2,K2,Karakoram,,,,,,,,,,,,,,,,,,,,,,
19,Namcha Barwa,China,"4,106","7,782","3,676",Everest,Everest,Himalayas,,,,,,,,,,,,,,,,,,,,,,
121,Kamet,India,"2,825","7,756","4,931",Nanda Devi,Nanda Devi,Himalayas,,,,,,,,,,,,,,,,,,,,,,
30,Tirich Mir,Pakistan,"3,908","7,708","3,800",Everest,K2,Hindu Kush,,,,,,,,,,,,,,,,,,,,,,
49,Kongur Tagh,China,"3,585","7,649","4,064",Everest,K2,Kongur Shan,,,,,,,,,,,,,,,,,,,,,,
92,Gangkhar Puensum,China Bhutan,"2,995","7,570","4,575",Kangchenjunga,Kangchenjunga,Himalayas,,,,,,,,,,,,,,,,,,,,,,
47,Mount Gongga,China,"3,642","7,556","3,914",Everest,K2,Daxue Mountains,,,,,,,,,,,,,,,,,,,,,,
54,Ismoil Somoni Peak,Tajikistan,"3,402","7,495","4,093",Everest,K2,Pamir Mountains,,,,,,,,,,,,,,,,,,,,,,
16,Jengish Chokusu,China Kyrgyzstan,"4,148","7,439","3,291",Everest,Everest,Kakshaal Too,,,,,,,,,,,,,,,,,,,,,,
100,Gyala Peri,China,"2,942","7,294","4,352",K2,Dhaulagiri,Nyenchen Tanglha Mountains,,,,,,,,,,,,,,,,,,,,,,
2,Aconcagua,Argentina,"6,960.80","6,960.80",0,None,None,Andes,,,,,,,,,,,,,,,,,,,,,,
44,Ojos del Salado,Argentina Chile,"3,688","6,893","3,205",Aconcagua,Aconcagua,Andes,,,,,,,,,,,,,,,,,,,,,,
118,Kuh-e Bandaka,Afghanistan,"2,834","6,812","3,978",Tirich Mir,Tirich Mir,Hindu Kush,,,,,,,,,,,,,,,,,,,,,,
103,Chakragil,China,"2,934","6,760","3,826",Everest,Gongga,Kunlun Mountains,,,,,,,,,,,,,,,,,,,,,,
56,Mercedario,Argentina,"3,353","6,720","3,367",Aconcagua,Aconcagua,Cordillera de la Ramada,,,,,,,,,,,,,,,,,,,,,,
84,Xuelian Feng,China,"3,068","6,627","3,559",Jengish Chokusu,Jengish Chokusu,Tian Shan,,,,,,,,,,,,,,,,,,,,,,
117,Buni Zom,Pakistan,"2,845","6,542","3,697",Everest,K2,Hindu Raj,,,,,,,,,,,,,,,,,,,,,,
18,Chimborazo,Ecuador,"4,118","6,263","2,145",Aconcagua,Aconcagua,Cordillera Occidental,,,,,,,,,,,,,,,,,,,,,,
3,Denali,United States,"6,144","6,191",47,Aconcagua,Aconcagua,Alaska Range,,,,,,,,,,,,,,,,,,,,,,
6,Mount Logan,Canada,"5,250","5,959",709,Denali,Denali,Saint Elias Mountains,,,,,,,,,,,,,,,,,,,,,,
4,Mount Kilimanjaro*,Tanzania,"5,885","5,895",10,Everest,Everest,Eastern Rift mountains,,,,,,,,,,,,,,,,,,,,,,
5,Pico Cristóbal Colón,Colombia,"5,509","5,700",191,Aconcagua,Aconcagua,Sierra Nevada de Santa Marta,,,,,,,,,,,,,,,,,,,,,,
10,Mount Elbrus,Russia,"4,741","5,642",901,Everest,Everest,Caucasus Mountains,,,,,,,,,,,,,,,,,,,,,,
7,Pico de Orizaba,Mexico,"4,922","5,636",714,Mount Logan,Mount Logan,Trans-Mexican Volcanic Belt,,,,,,,,,,,,,,,,,,,,,,
12,Mount Damavand,Iran,"4,667","5,610",943,Mount Elbrus,Mount Elbrus,Alborz,,,,,,,,,,,,,,,,,,,,,,
71,Jade Dragon Snow Mountain,China,"3,202","5,596","2,394",Everest,K2,Yun Range,,,,,,,,,,,,,,,,,,,,,,
69,Cerro del Bolsón,Argentina,"3,252","5,552","2,300",Aconcagua,Ojos del Salado,Andes,,,,,,,,,,,,,,,,,,,,,,
53,Mount Saint Elias,Canada United States,"3,448","5,489","2,041",Mount Logan,Mount Logan,Saint Elias Mountains,,,,,,,,,,,,,,,,,,,,,,
17,Bogda Peak,China,"4,122","5,445","1,323",Everest,Everest,Bogda Shan,,,,,,,,,,,,,,,,,,,,,,
46,Ritacuba Blanco,Colombia,"3,645","5,410","1,765",Aconcagua,Chimborazo,Cordillera Oriental,,,,,,,,,,,,,,,,,,,,,,
89,Popocatepetl,Mexico,"3,020","5,400","2,380",Orizaba,Orizaba,Trans-Mexican Volcanic Belt,,,,,,,,,,,,,,,,,,,,,,
86,Mount Lucania,Canada,"3,046","5,226","2,180",Mount Logan,Mount Logan,Saint Elias Mountains,,,,,,,,,,,,,,,,,,,,,,
32,Mount Kenya,Kenya,"3,825","5,199","1,374",Kilimanjaro,Kilimanjaro,Eastern Rift mountains,,,,,,,,,,,,,,,,,,,,,,
48,Mount Ararat,Turkey,"3,611","5,137","1,526",Damavand,Damavand,Armenian Highlands,,,,,,,,,,,,,,,,,,,,,,
28,Mount Stanley,DR Congo Uganda,"3,951","5,109","1,158",Kilimanjaro,Kilimanjaro,Rwenzori Mountains,,,,,,,,,,,,,,,,,,,,,,
